利用日,注文ID,利用項目,備考,金額（税抜き）,消費税,金額（税込）
2022/06/27,az-market-10111459,ワイジェイカード・PayPayカード決済金額,,3500,0,3500
2022/06/27,az-market-10111458,PayPay決済金額,,2490,0,2490
2022/06/27,az-market-10111455,PayPay決済金額,,3580,0,3580
2022/06/27,az-market-10111453,ワイジェイカード・PayPayカード決済金額,,3580,0,3580
2022/06/27,az-market-10111445,PayPay決済金額,,2979,0,2979
2022/06/27,az-market-10111444,PayPay決済金額,,3780,0,3780
2022/06/27,az-market-10111443,PayPay決済金額,,2490,0,2490
2022/06/27,az-market-10111437,カード決済金額,,3250,0,3250
2022/06/27,az-market-10111427,ワイジェイカード・PayPayカード決済金額,,2490,0,2490
2022/06/27,az-market-10111418,PayPay決済金額,,3880,0,3880
2022/06/27,az-market-10111415,ワイジェイカード・PayPayカード決済金額,,3080,0,3080
2022/06/27,az-market-10111406,カード決済金額,,4430,0,4430
2022/06/27,az-market-10111399,PayPayあと払い決済金額,,2017,0,2017
2022/06/27,az-market-10111398,PayPay決済金額,,2490,0,2490
2022/06/27,az-market-10111395,PayPay決済金額,,4407,0,4407
2022/06/27,az-market-10111390,PayPay決済金額,,240,0,240
2022/06/27,az-market-10111387,ゆっくり払い決済金額,,2479,0,2479
2022/06/27,az-market-10111373,PayPay決済金額,,2979,0,2979
2022/06/27,az-market-10111372,カード決済金額,,3880,0,3880
2022/06/27,az-market-10111383,PayPayあと払い決済金額,,2490,0,2490
2022/06/27,az-market-10111457,PayPay決済金額,,1280,0,1280
2022/06/27,az-market-10111456,PayPay決済金額,,3780,0,3780
2022/06/27,az-market-10111450,PayPay決済金額,,7160,0,7160
2022/06/27,az-market-10111447,PayPay決済金額,,3780,0,3780
2022/06/27,az-market-10111442,PayPayあと払い決済金額,,3380,0,3380
2022/06/27,az-market-10111436,PayPayあと払い決済金額,,7160,0,7160
2022/06/27,az-market-10111435,PayPay決済金額,,4280,0,4280
2022/06/27,az-market-10111433,ワイジェイカード・PayPayカード決済金額,,3580,0,3580
2022/06/27,az-market-10111426,PayPay決済金額,,3780,0,3780
2022/06/27,az-market-10111425,PayPay決済金額,,2508,0,2508
2022/06/27,az-market-10111423,PayPayあと払い決済金額,,2017,0,2017
2022/06/27,az-market-10111421,PayPayあと払い決済金額,,2017,0,2017
2022/06/27,az-market-10111416,カード決済金額,,1915,0,1915
2022/06/27,az-market-10111413,ワイジェイカード・PayPayカード決済金額,,3080,0,3080
2022/06/27,az-market-10111410,カード決済金額,,3190,0,3190
2022/06/27,az-market-10111369,カード決済金額,,7729,0,7729
2022/06/27,az-market-10111362,ゆっくり払い決済金額,,3498,0,3498
2022/06/27,az-market-10111342,PayPay決済金額,,1,0,1
2022/06/27,az-market-10110785,PayPay決済金額,,4980,0,4980
2022/06/27,az-market-10111586,ワイジェイカード・PayPayカード決済金額,,3080,0,3080
2022/06/27,az-market-10111585,ワイジェイカード・PayPayカード決済金額,,2017,0,2017
2022/06/27,az-market-10111583,PayPay決済金額,,2979,0,2979
2022/06/27,az-market-10111579,PayPay決済金額,,3036,0,3036
2022/06/27,az-market-10111566,PayPay決済金額,,3545,0,3545
2022/06/27,az-market-10111561,PayPayあと払い決済金額,,3780,0,3780
2022/06/27,az-market-10111552,ワイジェイカード・PayPayカード決済金額,,4780,0,4780
2022/06/27,az-market-10111551,PayPayあと払い決済金額,,1915,0,1915
2022/06/27,az-market-10111546,PayPay決済金額,,2490,0,2490
2022/06/27,az-market-10111542,PayPay決済金額,,4430,0,4430
2022/06/27,az-market-10111539,PayPay決済金額,,3190,0,3190
2022/06/27,az-market-10111533,PayPay決済金額,,5053,0,5053
2022/06/27,az-market-10111532,PayPay決済金額,,2979,0,2979
2022/06/27,az-market-10111530,PayPayあと払い決済金額,,3498,0,3498
2022/06/27,az-market-10111525,ワイジェイカード・PayPayカード決済金額,,2490,0,2490
2022/06/27,az-market-10111521,PayPay決済金額,,1358,0,1358
2022/06/27,az-market-10111517,ワイジェイカード・PayPayカード決済金額,,3880,0,3880
2022/06/27,az-market-10111514,PayPay決済金額,,5958,0,5958
2022/06/27,az-market-10111513,PayPay決済金額,,3580,0,3580
2022/06/27,az-market-10111506,PayPay決済金額,,3580,0,3580
2022/06/27,az-market-10111504,カード決済金額,,3135,0,3135
2022/06/27,az-market-10111504,PayPay決済金額,,745,0,745
2022/06/27,az-market-10111510,PayPay決済金額,,4034,0,4034
2022/06/27,az-market-10111503,PayPay決済金額,,4280,0,4280
2022/06/27,az-market-10111499,PayPay決済金額,,2490,0,2490
2022/06/27,az-market-10111497,PayPay決済金額,,4430,0,4430
2022/06/27,az-market-10111493,ワイジェイカード・PayPayカード決済金額,,3880,0,3880
2022/06/27,az-market-10111492,ワイジェイカード・PayPayカード決済金額,,3000,0,3000
2022/06/27,az-market-10111488,カード決済金額,,4034,0,4034
2022/06/27,az-market-10111481,カード決済金額,,300,0,300
2022/06/27,az-market-10111472,PayPay決済金額,,2017,0,2017
2022/06/27,az-market-10111471,PayPayあと払い決済金額,,2979,0,2979
2022/06/27,az-market-10111460,PayPay決済金額,,3609,0,3609
2022/06/27,az-market-10111459,PayPay決済金額,,280,0,280
2022/06/27,az-market-10111454,PayPayあと払い決済金額,,2490,0,2490
2022/06/27,az-market-10111441,PayPay決済金額,,2490,0,2490
2022/06/27,az-market-10111438,ワイジェイカード・PayPayカード決済金額,,2580,0,2580
2022/06/27,az-market-10111437,PayPay決済金額,,9,0,9
2022/06/27,az-market-10111434,PayPay決済金額,,3880,0,3880
2022/06/27,az-market-10111432,ワイジェイカード・PayPayカード決済金額,,3080,0,3080
2022/06/27,az-market-10111425,ワイジェイカード・PayPayカード決済金額,,31592,0,31592
2022/06/27,az-market-10111422,ワイジェイカード・PayPayカード決済金額,,8937,0,8937
2022/06/27,az-market-10111420,PayPay決済金額,,55000,0,55000
2022/06/27,az-market-10111417,ワイジェイカード・PayPayカード決済金額,,2017,0,2017
2022/06/27,az-market-10111414,PayPay決済金額,,3080,0,3080
2022/06/27,az-market-10111408,PayPay決済金額,,4780,0,4780
2022/06/27,az-market-10111403,PayPay決済金額,,2490,0,2490
2022/06/27,az-market-10111401,ワイジェイカード・PayPayカード決済金額,,2490,0,2490
2022/06/27,az-market-10111391,PayPay決済金額,,4430,0,4430
2022/06/27,az-market-10111390,ワイジェイカード・PayPayカード決済金額,,9000,0,9000
2022/06/27,az-market-10111389,ワイジェイカード・PayPayカード決済金額,,2490,0,2490
2022/06/27,az-market-10111388,カード決済金額,,4034,0,4034
2022/06/27,az-market-10111366,PayPay決済金額,,3880,0,3880
2022/06/27,az-market-10111364,PayPay決済金額,,958,0,958
2022/06/27,az-market-10111360,PayPay決済金額,,3880,0,3880
2022/06/27,az-market-10111359,PayPay決済金額,,4280,0,4280
2022/06/27,az-market-10111342,ワイジェイカード・PayPayカード決済金額,,2579,0,2579
2022/06/27,az-market-10111363,PayPay決済金額,,8922,0,8922
2022/06/27,az-market-10111587,PayPay決済金額,,2017,0,2017
2022/06/27,az-market-10111584,カード決済金額,,3580,0,3580
2022/06/27,az-market-10111582,ワイジェイカード・PayPayカード決済金額,,2420,0,2420
2022/06/27,az-market-10111578,PayPayあと払い決済金額,,3259,0,3259
2022/06/27,az-market-10111577,PayPayあと払い決済金額,,2017,0,2017
2022/06/27,az-market-10111568,ワイジェイカード・PayPayカード決済金額,,2580,0,2580
2022/06/27,az-market-10111565,PayPay決済金額,,2490,0,2490
2022/06/27,az-market-10111564,PayPayあと払い決済金額,,1690,0,1690
2022/06/27,az-market-10111554,PayPay決済金額,,1915,0,1915
2022/06/27,az-market-10111549,ワイジェイカード・PayPayカード決済金額,,2979,0,2979
2022/06/27,az-market-10111548,PayPay決済金額,,3780,0,3780
2022/06/27,az-market-10111547,PayPay決済金額,,2729,0,2729
2022/06/27,az-market-10111545,ワイジェイカード・PayPayカード決済金額,,2979,0,2979
2022/06/27,az-market-10111544,PayPay決済金額,,41800,0,41800
2022/06/27,az-market-10111543,PayPay決済金額,,2017,0,2017
2022/06/27,az-market-10111537,ワイジェイカード・PayPayカード決済金額,,3580,0,3580
2022/06/27,az-market-10111528,PayPay決済金額,,5053,0,5053
2022/06/27,az-market-10111521,カード決済金額,,659,0,659
