精算書No,22061504111241-12
店舗別内訳書No,22061554419739-32
"■楽天ﾍﾟｲ_ｸｰﾎﾟﾝ利用注文分支払額（7月10日締め分）"
連番,受注番号,注文確認日,クーポン名,クーポン利用額,クーポン利用確定日
70,286314-20220705-0427110275,2022/07/05,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/06
71,286314-20220705-0466809589,2022/07/05,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/06
72,286314-20220705-0470009550,2022/07/05,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/06
73,286314-20220705-0491010000,2022/07/05,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/06
74,286314-20220705-0501109547,2022/07/05,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/06
75,286314-20220705-0562010522,2022/07/05,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/07
76,286314-20220705-0620710534,2022/07/05,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/09
77,286314-20220705-0757409488,2022/07/05,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/06
78,286314-20220705-0781910316,2022/07/05,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/07
79,286314-20220705-0815710448,2022/07/05,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/07
80,286314-20220705-0832710545,2022/07/05,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/07
81,286314-20220705-0859609845,2022/07/05,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/06
82,286314-20220705-0868609606,2022/07/05,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/06
83,286314-20220705-0960910559,2022/07/05,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/07
84,286314-20220705-0984309480,2022/07/05,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/06
85,286314-20220706-0532810827,2022/07/06,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/08
86,286314-20220706-0570610767,2022/07/06,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/08
87,286314-20220706-0678010758,2022/07/06,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/08
88,286314-20220706-0809310654,2022/07/06,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/07
89,286314-20220706-0844310601,2022/07/06,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/08
90,286314-20220706-0846710835,2022/07/06,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/09
91,286314-20220707-0062211005,2022/07/07,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/09
92,286314-20220707-0183211012,2022/07/07,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/09
93,286314-20220707-0369410868,2022/07/07,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/08
94,286314-20220707-0470211006,2022/07/07,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/09
95,286314-20220707-0748410843,2022/07/07,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/08
96,286314-20220707-0792810858,2022/07/07,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/08
97,286314-20220707-0903210894,2022/07/07,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/09
98,286314-20220707-0967210998,2022/07/07,"【楽天市場アプリ限定ビンゴ！2022年7月】20円OFFクーポン",20,2022/07/09
99,286314-20220707-0990410875,2022/07/07,"すぐ使える！500円引きクーポン",500,2022/07/08
合計,24800
